A-1	Institution name changes between FY 2021 and FY 2022 Higher Education Research and Development Survey
A-2	Total and federally financed higher education R&D expenditures at surveyed institutions reporting less than $150,000 in separately accounted for R&D expenditures: FY 2022
A-3	Institutions surveyed for the Higher Education Research and Development Survey, by highest degree granted and survey population: FYs 2017–22
A-4	Response rates for the Higher Education Research and Development Survey, by survey population, highest degree granted, and institutional control: FY 2022
A-5	Response rates for the Higher Education Research and Development Survey, by survey form and question: FY 2022
A-6	Imputed amounts for total higher education R&D expenditures, by survey population and highest degree granted: FY 2022
A-7	Imputed amounts for total higher education R&D expenditures, by survey population and source of funds: FY 2022
A-8	Imputed amounts for higher education R&D expenditures from foreign sources, by source of funds: FY 2022
A-9	Imputed amounts for externally financed higher education R&D expenditures, by type of agreement: FY 2022
A-10	Imputed amounts for higher education R&D expenditures in a medical school, by institutional control: FY 2022
A-11	Imputed amounts for higher education R&D expenditures in clinical trials, by source of funds: FY 2022
A-12	Imputed amounts for total and federally financed higher education R&D expenditures, by type of R&D: FY 2022
A-13	Imputed amounts for total and federally financed higher education R&D expenditures received as a subrecipient, by survey population and type of pass-through entity: FY 2022
A-14	Imputed amounts for total and federally financed higher education R&D expenditures passed through, by survey population and type of subrecipient: FY 2022
A-15	Imputed amounts for total and federally financed higher education R&D expenditures at institutions in the standard form population, by R&D field: FY 2022
A-16	Imputed amounts for total and federally financed higher education R&D expenditures at institutions in the short form population, by R&D field: FY 2022
A-17	Imputed amounts for higher education R&D expenditures, by type of cost: FY 2022
A-18	Imputed amounts for total and federally financed higher education R&D equipment expenditures, by R&D field: FY 2022
A-19	Federally financed higher education R&D expenditures from federal agencies not specified in question 9: FY 2022
A-20	Response summary for question 13, capitalization thresholds, by highest degree granted, institutional control, and capitalization threshold: FY 2022
1	Higher education R&D expenditures, by source of funds: FYs 1953–2022
9	Higher education R&D expenditures, by source of funds and type of R&D: FYs 2010–22
10	Higher education R&D expenditures, by R&D field: FYs 2010–22
21	Higher education R&D expenditures, ranked by FY 2022 R&D expenditures: FYs 2010–22
24	Federally financed higher education R&D expenditures, ranked by FY 2022 R&D expenditures: FYs 2010–22
2	Higher education R&D expenditures, by source of funds and survey form: FYs 2010–22
3	Higher education R&D expenditures, by source of funds, R&D field, and survey population: FY 2022
4	Higher education R&D expenditures received from and passed through to other U.S. higher education institutions, by source of funds and survey population: FY 2022
5	Higher education R&D expenditures at higher education institutions in both survey populations, ranked by all R&D expenditures, by source of funds: FY 2022
6	Higher education R&D expenditures at institutions in both survey populations, by state, institutional control, system, and institution: FY 2022
7	Total and federally financed higher education R&D expenditures at higher education institutions in both survey populations, ranked by FY 2022 total R&D expenditures: FYs 2019–22
8	Total and federally financed higher education R&D expenditures, by type of R&D: FYs 1953–2022
11	Federally financed higher education R&D expenditures, by R&D field: FYs 2010–22
12	Nonfederally financed higher education R&D expenditures, by R&D field: FYs 2010–22
13	Higher education R&D expenditures, by source of funds and R&D field: FY 2022
14	Federally financed higher education R&D expenditures, by federal agency and R&D field: FY 2022
15	Higher education R&D expenditures from foreign sources, by highest degree granted and institutional control: FYs 2010–22 and by source of foreign funds for FYs 2016–22
16	Externally funded higher education R&D expenditures, by highest degree granted, institutional control, and type of agreement: FYs 2010–22
17	Higher education R&D expenditures, by type of cost, highest degree granted, and institutional control: FYs 2010–22
18	Higher education R&D expenditures for equipment, by R&D field, source of funds, and institutional control: FY 2022
19	Total R&D expenditures within medical schools, by institutional control: FYs 2010–22
20	Higher education R&D expenditures for clinical trials, by source of funds, highest degree granted, and institutional control: FYs 2010–22
22	Higher education R&D expenditures, ranked by all R&D expenditures, by source of funds: FY 2022
23	Higher education R&D expenditures, ranked by all R&D expenditures, by R&D field: FY 2022
25	Federally financed higher education R&D expenditures, ranked by all federal R&D expenditures, by R&D field: FY 2022
26	Federally financed higher education R&D expenditures, ranked by all federal R&D expenditures, by federal agency: FY 2022
27	Higher education R&D expenditures funded by state and local governments, ranked by all R&D expenditures, by R&D field: FY 2022
28	Higher education R&D expenditures funded by institutional funds, ranked by all R&D expenditures, by R&D field: FY 2022
29	Higher education R&D expenditures funded by businesses, ranked by all R&D expenditures, by R&D field: FY 2022
30	Higher education R&D expenditures funded by nonprofit organizations, ranked by all R&D expenditures, by R&D field: FY 2022
31	Higher education R&D expenditures funded by all other sources, ranked by all R&D expenditures, by R&D field: FY 2022
32	Higher education R&D expenditures at historically black colleges and universities, ranked by all R&D expenditures, by source of funds: FY 2022
33	Higher education R&D expenditures at historically black colleges and universities, ranked by all R&D expenditures, by R&D field: FY 2022
34	Higher education R&D expenditures at high-Hispanic-enrollment institutions, ranked by all R&D expenditures, by source of funds: FY 2022
35	Higher education R&D expenditures at high-Hispanic-enrollment institutions, ranked by all R&D expenditures, by R&D field: FY 2022
36	Higher education R&D expenditures at all institutions, ranked by all non-medical school R&D expenditures: FY 2022
